temperature(°C),Feed(mm/min),Speed(RPM),Depth of Cut (mm),time(sec)
41,25,710,3,00:00
39.5,25,710,3,00:04
40.25,25,710,3,00:08
39.5,25,710,3,00:12
40,25,710,3,00:16
40,25,710,3,00:21
40,25,710,3,00:25
40.75,25,710,3,00:29
41,25,710,3,00:33
43,25,710,3,00:37
44,25,710,3,00:41
46.5,25,710,3,00:45
49,25,710,3,00:49
51,25,710,3,00:53
54.25,25,710,3,00:57
56.25,25,710,3,01:02
59,25,710,3,01:06
60.75,25,710,3,01:10
64,25,710,3,01:14
66.5,25,710,3,01:18
68.75,25,710,3,01:22
70.75,25,710,3,01:26
72.75,25,710,3,01:30
76.5,25,710,3,01:34
80.75,25,710,3,01:39
83.25,25,710,3,01:43
84.25,25,710,3,01:47
85.5,25,710,3,01:51
87,25,710,3,01:55
87.5,25,710,3,01:59
86.75,25,710,3,02:03
85.5,25,710,3,02:07
84,25,710,3,02:11
